match_id,inning,over,ball,batsman_runs,bowler_runs,is_wicket
969,1,6,3,1.0,2.0,0.0
84,2,11,4,4.0,6.0,1.0
223,1,7,5,0.0,0.0,1.0
1578,2,4,5,6.0,0.0,0.0
1301,2,18,2,4.0,1.0,0.0
1655,2,1,4,,1.0,
1420,1,13,2,,3.0,1.0
371,1,14,5,2.0,4.0,1.0
1492,2,11,1,4.0,1.0,0.0
1055,1,2,6,0.0,4.0,1.0
1666,2,3,6,6.0,4.0,0.0
1786,2,3,5,6.0,,0.0
1604,2,14,4,3.0,2.0,1.0
1756,2,6,4,0.0,0.0,1.0
228,1,15,6,4.0,3.0,1.0
220,1,19,1,2.0,1.0,0.0
74,2,18,3,6.0,2.0,1.0
515,2,14,6,,6.0,
202,1,10,6,0.0,2.0,
1309,1,12,2,3.0,0.0,0.0
1577,1,4,4,0.0,0.0,
1923,1,3,2,1.0,0.0,1.0
1346,2,11,3,,,1.0
105,1,2,4,2.0,1.0,
504,1,3,5,2.0,2.0,
1030,2,1,2,0.0,0.0,1.0
1578,2,8,6,,6.0,0.0
1359,1,15,1,3.0,2.0,
325,1,4,1,4.0,3.0,1.0
1658,1,8,2,0.0,4.0,
165,1,5,5,3.0,3.0,
524,2,1,1,,1.0,
71,1,3,5,6.0,6.0,1.0
875,1,18,2,6.0,1.0,0.0
1694,1,15,5,3.0,,0.0
21,1,15,1,2.0,,1.0
827,1,18,4,1.0,6.0,0.0
1073,2,5,1,4.0,2.0,1.0
1665,1,11,3,,3.0,
1850,1,1,1,4.0,6.0,0.0
186,2,6,3,6.0,2.0,1.0
1141,2,13,2,,,0.0
701,1,3,4,,4.0,1.0
1231,2,17,6,2.0,1.0,1.0
224,1,16,1,6.0,3.0,0.0
1423,2,14,2,6.0,1.0,1.0
1732,1,12,5,2.0,6.0,0.0
1631,2,12,4,2.0,3.0,
206,2,19,5,3.0,6.0,1.0
1073,1,19,1,3.0,,
1072,2,17,5,0.0,,0.0
159,2,12,6,0.0,2.0,
1543,2,17,3,2.0,,1.0
991,2,15,3,6.0,2.0,0.0
1527,2,19,3,3.0,4.0,0.0
1835,1,3,3,6.0,2.0,0.0
1977,1,1,2,3.0,3.0,
287,1,1,4,3.0,0.0,
1058,2,16,4,1.0,6.0,0.0
463,2,9,2,0.0,1.0,
202,1,2,6,2.0,0.0,
1482,2,6,4,2.0,1.0,1.0
577,2,3,4,1.0,4.0,0.0
1551,1,14,2,0.0,3.0,
