match_id,season,team1,team2,venue,winner,match_date
1,2024,LSG,DC,Kolkata,KKR,2020-03-21
2,2024,LSG,PBKS,Mumbai,LSG,2020-03-22
3,2022,GT,PBKS,Hyderabad,RR,2020-03-23
4,2020,PBKS,CSK,Kolkata,PBKS,2020-03-24
5,2022,DC,KKR,Delhi,SRH,2020-03-25
6,2020,GT,PBKS,Ahmedabad,CSK,2020-03-26
7,2023,CSK,RCB,Mumbai,LSG,2020-03-27
8,2024,LSG,PBKS,Kolkata,KKR,2020-03-28
9,2020,KKR,CSK,Chennai,CSK,2020-03-29
10,2020,DC,PBKS,Bangalore,LSG,2020-03-30
11,2023,CSK,PBKS,Delhi,PBKS,2020-03-31
12,2020,SRH,RR,Kolkata,MI,2020-04-01
13,2023,MI,KKR,Kolkata,RR,2020-04-02
14,2023,MI,LSG,Ahmedabad,LSG,2020-04-03
15,2021,RCB,KKR,Bangalore,RCB,2020-04-04
16,2023,CSK,LSG,Chennai,KKR,2020-04-05
17,2024,RR,SRH,Delhi,,2020-04-06
18,2023,CSK,RR,Kolkata,GT,2020-04-07
19,2022,DC,PBKS,Ahmedabad,RCB,2020-04-08
20,2023,GT,DC,Hyderabad,SRH,2020-04-09
21,2024,PBKS,MI,Bangalore,SRH,2020-04-10
22,2024,RR,LSG,Chennai,,2020-04-11
23,2020,DC,RCB,Delhi,DC,2020-04-12
24,2020,RCB,RR,Chennai,DC,2020-04-13
25,2022,MI,SRH,Chennai,DC,2020-04-14
26,2024,LSG,GT,Delhi,DC,2020-04-15
27,2021,PBKS,SRH,Delhi,,2020-04-16
28,2024,LSG,DC,Mumbai,MI,2020-04-17
29,2023,GT,KKR,Chennai,RR,2020-04-18
30,2022,LSG,DC,Kolkata,,2020-04-19
31,2022,CSK,SRH,Kolkata,CSK,2020-04-20
32,2021,GT,RR,Kolkata,LSG,2020-04-21
33,2022,CSK,RCB,Mumbai,PBKS,2020-04-22
34,2022,LSG,LSG,Ahmedabad,SRH,2020-04-23
35,2023,MI,CSK,Mumbai,LSG,2020-04-24
36,2021,MI,SRH,Kolkata,RCB,2020-04-25
37,2020,RR,GT,Chennai,RR,2020-04-26
38,2021,KKR,DC,Bangalore,PBKS,2020-04-27
39,2021,CSK,RCB,Delhi,CSK,2020-04-28
40,2020,LSG,GT,Bangalore,CSK,2020-04-29
41,2023,SRH,SRH,Mumbai,LSG,2020-04-30
