player_id,player_name,team,role
1,Player_1,RCB,Batsman
2,Player_2,PBKS,Wicket-Keeper
3,Player_3,SRH,Batsman
4,Player_4,RCB,Batsman
5,Player_5,GT,Wicket-Keeper
6,Player_6,CSK,All-Rounder
7,Player_7,SRH,Wicket-Keeper
8,Player_8,RR,Batsman
9,Player_9,SRH,Wicket-Keeper
10,Player_10,DC,Wicket-Keeper
11,Player_11,KKR,Wicket-Keeper
12,Player_12,RR,
13,Player_13,PBKS,Batsman
14,Player_14,MI,All-Rounder
15,Player_15,DC,Batsman
16,Player_16,CSK,Wicket-Keeper
17,Player_17,LSG,Bowler
18,Player_18,MI,Batsman
19,Player_19,LSG,Bowler
20,Player_20,DC,Batsman
21,Player_21,SRH,Bowler
22,Player_22,MI,Wicket-Keeper
23,Player_23,LSG,Bowler
24,Player_24,GT,All-Rounder
25,Player_25,CSK,Wicket-Keeper
26,Player_26,GT,Bowler
27,Player_27,KKR,Batsman
28,Player_28,KKR,All-Rounder
29,Player_29,CSK,Bowler
30,Player_30,KKR,
31,Player_31,KKR,
32,Player_32,SRH,Bowler
33,Player_33,PBKS,
34,Player_34,RCB,Wicket-Keeper
35,Player_35,LSG,
36,Player_36,CSK,Wicket-Keeper
37,Player_37,LSG,Bowler
38,Player_38,GT,All-Rounder
39,Player_39,KKR,Wicket-Keeper
40,Player_40,DC,Bowler
41,Player_41,RCB,Batsman
42,Player_42,LSG,Wicket-Keeper
43,Player_43,MI,Bowler
44,Player_44,RR,Bowler
45,Player_45,LSG,All-Rounder
46,Player_46,LSG,Batsman
47,Player_47,SRH,Wicket-Keeper
48,Player_48,RCB,Bowler
49,Player_49,DC,Batsman
50,Player_50,RCB,Batsman
51,Player_51,MI,
52,Player_52,RR,All-Rounder
53,Player_53,DC,Batsman
54,Player_54,KKR,Batsman
55,Player_55,LSG,Batsman
56,Player_56,KKR,All-Rounder
57,Player_57,MI,Batsman
58,Player_58,MI,
59,Player_59,RR,Wicket-Keeper
60,Player_60,SRH,
61,Player_61,KKR,
62,Player_62,GT,
63,Player_63,SRH,All-Rounder
64,Player_64,LSG,Bowler
65,Player_65,LSG,
66,Player_66,RCB,Bowler
67,Player_67,SRH,Batsman
68,Player_68,RR,Bowler
69,Player_69,SRH,All-Rounder
70,Player_70,PBKS,All-Rounder
71,Player_71,GT,All-Rounder
72,Player_72,RCB,Bowler
73,Player_73,KKR,All-Rounder
74,Player_74,PBKS,All-Rounder
75,Player_75,KKR,All-Rounder
76,Player_76,LSG,Bowler
77,Player_77,KKR,All-Rounder
78,Player_78,RR,All-Rounder
79,Player_79,MI,Batsman
80,Player_80,CSK,Batsman
81,Player_81,CSK,All-Rounder
82,Player_82,RCB,
83,Player_83,CSK,Wicket-Keeper
84,Player_84,MI,Bowler
85,Player_85,PBKS,All-Rounder
86,Player_86,DC,Wicket-Keeper
87,Player_87,GT,Batsman
88,Player_88,PBKS,Batsman
89,Player_89,RCB,All-Rounder
90,Player_90,RR,Batsman
91,Player_91,DC,Batsman
92,Player_92,RCB,
93,Player_93,RR,Bowler
94,Player_94,PBKS,Wicket-Keeper
95,Player_95,CSK,Batsman
96,Player_96,LSG,Wicket-Keeper
97,Player_97,LSG,Wicket-Keeper
98,Player_98,SRH,Batsman
99,Player_99,MI,
100,Player_100,MI,Bowler
101,Player_101,CSK,
102,Player_102,PBKS,All-Rounder
103,Player_103,SRH,All-Rounder
104,Player_104,RCB,Batsman
105,Player_105,MI,
106,Player_106,LSG,
107,Player_107,LSG,Batsman
108,Player_108,CSK,Batsman
109,Player_109,MI,Bowler
110,Player_110,KKR,
111,Player_111,CSK,Wicket-Keeper
112,Player_112,LSG,All-Rounder
113,Player_113,LSG,Wicket-Keeper
114,Player_114,RR,Bowler
115,Player_115,LSG,
116,Player_116,SRH,Bowler
117,Player_117,DC,
118,Player_118,RCB,Batsman
119,Player_119,LSG,All-Rounder
120,Player_120,GT,Bowler
121,Player_121,SRH,All-Rounder
122,Player_122,SRH,Wicket-Keeper
123,Player_123,PBKS,
124,Player_124,DC,Batsman
125,Player_125,RR,All-Rounder
126,Player_126,RR,Wicket-Keeper
127,Player_127,SRH,Bowler
128,Player_128,RCB,Batsman
129,Player_129,MI,Bowler
130,Player_130,PBKS,Bowler
131,Player_131,SRH,
132,Player_132,RCB,
133,Player_133,RR,
134,Player_134,RCB,All-Rounder
135,Player_135,KKR,Wicket-Keeper
136,Player_136,MI,Bowler
137,Player_137,KKR,Wicket-Keeper
138,Player_138,CSK,Bowler
139,Player_139,PBKS,Batsman
140,Player_140,PBKS,Batsman
141,Player_141,PBKS,
142,Player_142,PBKS,All-Rounder
143,Player_143,LSG,Wicket-Keeper
144,Player_144,RCB,Bowler
145,Player_145,DC,Wicket-Keeper
146,Player_146,KKR,
147,Player_147,GT,Wicket-Keeper
148,Player_148,SRH,Bowler
149,Player_149,DC,
150,Player_150,LSG,
151,Player_151,GT,Wicket-Keeper
152,Player_152,LSG,All-Rounder
153,Player_153,PBKS,Batsman
154,Player_154,GT,
155,Player_155,CSK,Bowler
156,Player_156,PBKS,Batsman
157,Player_157,DC,All-Rounder
158,Player_158,DC,Bowler
159,Player_159,RCB,All-Rounder
160,Player_160,LSG,Bowler
161,Player_161,RR,Bowler
162,Player_162,KKR,Bowler
163,Player_163,KKR,Wicket-Keeper
164,Player_164,PBKS,
165,Player_165,RR,
166,Player_166,LSG,All-Rounder
167,Player_167,PBKS,Bowler
168,Player_168,MI,Batsman
169,Player_169,DC,Bowler
170,Player_170,GT,
171,Player_171,CSK,Wicket-Keeper
172,Player_172,SRH,All-Rounder
173,Player_173,RCB,All-Rounder
